City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Korla,CN,56.05,broken clouds,41.7597,86.1469,Gulisitan Hotel
48,Ponta Do Sol,PT,65.71,scattered clouds,32.6667,-17.1,Hotel do Campo
49,Port Elizabeth,ZA,64.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
50,Lengshuitan,CN,57.06,overcast clouds,26.4111,111.5956,Jialong Hotel
51,New Norfolk,AU,62.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
52,Jackson,US,53.8,broken clouds,42.4165,-122.8345,Agate Village Apartments
53,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Sitka,US,46.29,clear sky,57.0531,-135.33,Westmark Sitka
56,Bredasdorp,ZA,56.71,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
60,Laguna,US,59.29,light rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
63,Klaksvik,FO,45.52,light rain,62.2266,-6.589,Airbnb rooms
64,Guaranesia,BR,66.02,broken clouds,-21.2992,-46.8025,Regis Hotel
